gene_id,cluster
Ap14.56,1
Ap14.560,1
Ap14.1500,1
Ap14.781,1
Ap14.787,1
Ap14.2028,1
Ap14.441,1
Ap14.368,1
Ap14.2016,1
Ap14.2010,1
Ap14.1162,1
Ap14.1985,1
Ap14.4,2
Ap14.1232,1
Ap14.252,1
Ap14.250,1
Ap14.254,1
Ap14.259,1
Ap14.855,1
Ap14.1575,1
Ap14.593,1
Ap14.594,1
Ap14.947,1
Ap14.946,1
Ap14.944,1
Ap14.1282,1
Ap14.1283,1
Ap14.752,1
Ap14.514,1
Ap14.516,1
Ap14.573,1
Ap14.1116,1
Ap14.1115,1
Ap14.491,1
Ap14.492,1
Ap14.499,1
Ap14.1009,1
Ap14.1005,1
Ap14.867,1
Ap14.281,1
Ap14.137,1
Ap14.67,1
Ap14.66,1
Ap14.68,2
Ap14.1365,1
Ap14.1361,1
Ap14.2045,1
Ap14.2041,1
Ap14.1607,1
Ap14.1604,1
Ap14.1448,2
Ap14.995,1
Ap14.1870,1
Ap14.470,1
Ap14.208,1
Ap14.204,1
Ap14.205,1
Ap14.202,1
Ap14.1453,1
Ap14.1938,1
Ap14.1686,1
Ap14.1684,1
Ap14.1685,1
Ap14.1683,1
Ap14.1566,1
Ap14.1761,1
Ap14.914,1
Ap14.911,1
Ap14.892,1
Ap14.896,1
Ap14.1062,1
Ap14.2000,1
Ap14.2006,1
Ap14.1045,1
Ap14.1048,1
Ap14.338,1
Ap14.333,1
Ap14.334,1
Ap14.335,1
Ap14.336,1
Ap14.817,1
Ap14.53,1
Ap14.1546,1
Ap14.1355,2
Ap14.1356,1
Ap14.1351,1
Ap14.2074,1
Ap14.602,1
Ap14.106,1
Ap14.104,1
Ap14.1496,2
Ap14.1495,1
Ap14.1494,1
Ap14.1491,1
Ap14.1490,1
Ap14.1143,1
Ap14.1142,1
Ap14.1844,1
Ap14.1842,1
Ap14.186,1
Ap14.869,1
Ap14.1658,2
Ap14.1755,1
Ap14.1598,1
Ap14.1599,1
Ap14.276,1
Ap14.972,1
Ap14.973,1
Ap14.971,1
Ap14.976,1
Ap14.977,1
Ap14.734,1
Ap14.737,1
Ap14.733,1
Ap14.738,1
Ap14.739,1
Ap14.908,1
Ap14.1969,1
Ap14.1968,1
Ap14.1388,1
Ap14.1036,1
Ap14.1425,1
Ap14.1923,1
Ap14.1924,1
Ap14.341,1
Ap14.347,1
Ap14.346,1
Ap14.1891,1
Ap14.1890,1
Ap14.1796,1
Ap14.1302,1
Ap14.1300,1
Ap14.1305,1
Ap14.1304,1
Ap14.2027,1
Ap14.2026,1
Ap14.1172,1
Ap14.278,1
Ap14.70,1
Ap14.1812,1
Ap14.1816,1
Ap14.1815,1
Ap14.1814,1
Ap14.1818,1
Ap14.158,1
Ap14.156,1
Ap14.89,1
Ap14.174,1
Ap14.84,1
Ap14.87,1
Ap14.178,1
Ap14.1440,1
Ap14.1444,1
Ap14.1996,1
Ap14.785,1
Ap14.1666,1
Ap14.1660,1
Ap14.1661,1
Ap14.1464,1
Ap14.1869,1
Ap14.1235,1
Ap14.1234,2
Ap14.1230,1
Ap14.222,1
Ap14.1544,1
Ap14.1547,1
Ap14.929,1
Ap14.1060,1
Ap14.1917,1
Ap14.992,1
Ap14.993,1
Ap14.1034,1
Ap14.2019,1
Ap14.1704,1
Ap14.1703,1
Ap14.1702,1
Ap14.934,1
Ap14.931,1
Ap14.938,1
Ap14.741,1
Ap14.1863,1
Ap14.1559,1
Ap14.401,1
Ap14.1879,1
